"Name","Old School","New School"
"Ivan Sierra-Batista","North Carolina A&T",""
"Alex McCoy","Maryland Eastern Shore",""
"Jonah Smith","UAB",""
"Gabe Williams","Maryland Eastern Shore",""
"Chris Dengler","Old Dominion",""
"Brian Hardaway","Mississippi Valley State",""
"Cooper Lanz","Pacific",""
"Karter Hann","Fort Wayne",""
"Derek Smith","Bryant",""
"Zach Holcomb","Illinois State",""
"Ryan Keenan","Northwestern",""
"Tyler Woltman","Illinois State",""
"Alex Lodise","North Florida","Florida State"
"Jonathan Gauthier","Illinois State",""
"Cooper McClure","Southern Illinois",""
"Dylan Winebrenner","George Mason",""
"Wehiwa Aloy*","Sacramento State","Arkansas"
"Ty Wilmsmeyer","Missouri",""
"Bradley Mullan","Gonzaga",""
"Dennis Folan","Stonehill",""
"Bryce Matthews","Washington State","Nevada"
"DJ Burke","Texas",""
"Michael Cauble","South Alabama",""
"Preston Godfrey","New Mexico State",""
"Kyndell Dolphin","Mississippi Valley State",""
"Jack Moffitt","Gonzaga",""
"Caden Kaiser","Ohio State",""
"Thomas Mayer","William & Mary",""
"Matt Boyer","Wichita State",""
"Austin Wallace","Wichita State",""
"Kyle Locklear","William & Mary",""
"Duke Coborn","St. Thomas",""
"Crew Robinson","UC San Diego",""
"Luke Glascoe","UC San Diego",""
"Isaiah Hart","Fort Wayne",""
"Robert Sotolongo","FIU",""
"Artin Biageyian","St. Bonaventure",""
"Max Farfan","Illinois-Chicago",""
"Michael Moss","Seton Hall",""
"Chris Shine","Seton Hall",""
"Will Gale","Seton Hall",""
"Will MacLean","UMass",""
"Tanner Olmstead","Omaha",""
"Dylan James","Akron",""
"Ryan Karst","Illinois-Chicago",""
"Joe Mershon","College of Charleston",""
"Alex McKay","Mercer",""
"Avery Stephens","Mercer",""
"McGwire Tuffy","Quinnipiac",""
"Cam Jones*","Georgia State","Georgia Tech"
"Derrick Mayes","Maryland Eastern Shore",""
"Kyle Cincinnati","Maryland Eastern Shore",""
"David Petersen","Seattle",""
"Riley Parker","UCF",""
"Ryan Taylor","UCF",""
"Greg Pettay","UCF",""
"Hagen Escoto","Seattle",""
"Kai Reum","Omaha",""
"Jack Basseer","Pepperdine",""
"Luke Cantwell*","Fairleigh Dickinson","Pittsburgh"
"Reese Malon","William & Mary",""
"Jack Gannon","Saint Peter's",""
"Ryan Seymour","Saint Peter's",""
"Robert Nunez","Saint Peter's",""
"David Bernard","Saint Peter's",""
"Michael Pollard","Saint Peter's",""
"Gage Williams","Wichita State",""
"Evan Marcinko","UNC Wilmington",""
"Alex Galvan","Louisville",""
"John Levine","Navy",""
"Jace Miner","Wichita State","Oklahoma"
"Ben Weigman","Louisville",""
"Jordan Rogers","Wichita State",""
"Nathan Snead","Wichita State",""
"Caleb Ellard","Mercer",""
"Parker Dillhoff","Wichita State",""
"Jacob Bimbi","Tennessee","Western Kentucky"
"Deyon Cannon","East Tennessee State",""
"Charlie Rogan","Wichita State","George Washington"
"Landon Smiddy","East Tennessee State",""
"Seth Stroh","Wichita State",""
"Chuck Ingram","Wichita State","Kansas State"
"Kain Collins","East Tennessee State",""
"Trevor Hanselman","East Tennessee State",""
"Cooper Harris","Wichita State",""
"Ethan Plyler","East Tennessee State",""
"Nick Argento","North Carolina",""
"Peyton Henry","Radford",""
"Will Underwood","Coastal Carolina",""
"Justin Szestowicki","North Carolina",""
"Joe Jaconski","North Carolina",""
"Drew Faurot*","UCF","Florida State"
"Brock Rodden*","Wichita State",""
"Tyler Wilsmeyer*","Missouri","Arkansas"
"Conrad Valdez","Purdue",""
"Brantley Cutler","Maryland Eastern Shore",""
"Caden Edwards","North Dakota State",""
"Ryan Rumsey","Xavier",""
"Jaren Warwick","Texas A&M",""
"Wyatt Tucker","Texas A&M","Sam Houston"
"Benjamin Loyd","Western Kentucky",""
"Jack Hyde","San Diego",""
"Danny Melnick","Rutgers",""
"Nathaniel Anderson","Gardner-Webb",""
"Chris McKenna","Gardner-Webb",""
"Anthony Solomon","Gardner-Webb",""
"Braeden O'Shaughnessy","Youngstown State",""
"Gunnet Carlson","Florida State",""
"Kameron Walker","Norfolk State",""
"Cordel Coburn","Southern Indiana",""
"Santiago Ordonez","Florida State",""
"Cal McGinnis","Bradley",""
"Connor Moore","Florida State",""
"Noah Carter","Elon",""
"Derek Seignuer","Norfolk State",""
"Blake Herrmann","Evansville","Oakland City (IN)"
"Jacob Norris","Bradley",""
"Cade Bush","Florida State",""
"Matthew Deutsch","Binghamton",""
"Landon Roque","Lamar",""
"Dominic Oliverio","Indiana State",""
"Dominic Joseph","Norfolk State",""
"Alex Wilzbach","Southern Indiana",""
"Benjamin Santiago","Virginia Commonwealth",""
"Brandon Guerra","Norfolk State",""
"Avery Cook","Purdue",""
"Sam Bello","Rutgers",""
"Carson Husmann","Bradley",""
"Casen Neumann","Baylor",""
"Hank Himrich","Bradley",""
"Alexander Rodgers","Stephen F. Austin",""
"Peter Johnson","Bradley",""
"Cayden Shaver","Murray State",""
"Walker Polk","Baylor",""
"Everett Vaughan","High Point",""
"Judson Ard","Georgia Southern",""
"Tucker Christensen","Sam Houston",""
"Jack Haley","Central Arkansas",""
"Tyler Roche","St. John's",""
"Bode Grieve","Baylor",""
"Trenton Pallas","High Point",""
"Jermaine White","St. John's",""
"Huch Wathan","Charlotte",""
"Avery Williams","Central Arkansas",""
"David Bamberg","Louisville",""
"Cameron Caley","Baylor",""
"Daniel Helfgott","Charlotte",""
"Jackson Kraemer","Wake Forest",""
"Chandler Stocking","Alabama A&M",""
"Payton Bloom","George Washington",""
"Pierce Leavengood","Southeastern Louisiana",""
"Jaylen Merchant","Kennesaw State",""
"Joseph Durso","St. John's",""
"Landon Underhill","Mercer",""
"Jonathan Bautista","Pittsburgh",""
"Lance Lauve","Southeastern Louisiana",""
"Carson Bell","James Madison",""
"John Alkire","Charleston Southern",""
"Aidan McDonald","James Madison",""
"William Jacobsen","Harvard",""
"Jason Shockley","Rutgers",""
"Nathan Fink","Ole Miss","Florida Southwestern"
"Josh Cone","South Florida",""
"Caden Dulin","Bryant",""
"Ashton Wilson","Charleston Southern",""
"Tyler Dietz","South Florida",""
"Kyle Scrape","Old Dominion",""
"Treyson Hughes*","Mercer","Ole Miss"
"Steven Shaffer","Norfolk State",""
"Chris Hund","Long Island",""
"Evimael Quiles","Alabama State",""
"Beau Coffman","Western Kentucky","USC Upstate"
"Sam Reed","Eastern Michigan","Illinois"
"Josh Salinas","UTSA",""
"Parker McCauley","Tennessee Tech","Evansville"
"Brayden Johnson","Western Kentucky",""
"Isaac Webb","Arkansas",""
"Darren Hagan","Coppin State",""
"Gavin Jones","Alabama",""
"John Malcom","Michigan State",""
"Tucker Lemay","Long Island",""
"Hayden Lewis","Arizona",""
"Tyler Burke","William & Mary",""
"Turner Grau","Youngstown State",""
"Robert Barfield","Florida State",""
"Vincent Yaghoubi","William & Mary",""
"Trevor Schmidt","Arizona",""
"Cameron Gill","Wofford",""
"Daniel Tauken","Albany",""
"Keith Gardener","Coppin State",""
"Benjamin Schulte","Wofford",""
"Matthew Travisano","Pittsburgh",""
"Luke Moeller","Arizona",""
"Trey Oblas","Utah",""
"Jake Beaver","Georgia State",""
"Sebastien Sarabia","Coppin State",""
"Theodore Ruffner","UNC Wilmington",""
"Bryan Loriga","FIU",""
"Logan O'Donnell","Central Florida",""
"Jordan Taylor","Florida State",""
"Timothy Wise Jr.","Georgia State",""
"Henry Weycker","Virginia Tech",""
"Oliver Santos","Duke","Texas"
"Christopher Sparber","Virginia Tech",""
"Graham Yntema","Mississippi State",""
"Collin Valentine","Texas","Pepperdine"
"Matthew Rowe","Rutgers",""
"Ryan Slattery","Pittsburgh",""
"Cesar Franco","FIU",""
"Matthew Schepel","Western Carolina",""
"Brendan Parks","Kennesaw State",""
"Thomas Wright","Virginia Military",""
"Noel-Rene Perez-Munoz","FIU",""
"William Forsythe","Mississippi State",""
"Andre Good","Youngstown State",""
"Tyler Kaltreider","Virginia Military",""
"Merritt Beeker","East Carolina",""
"Michael Higgins","Kennesaw State",""
"Jake Johnson","Ohio State","Northern Kentucky"
"Benjamin Jones","Dayton",""
"Tanner Jones*","Jacksonville State","Texas A&M"
"Daniel Shala","Siena",""
"Bryce Hubbard","Mississippi State",""
"Clay Wiesen","Youngstown State",""
"Robert Moynihan  V","Siena",""
"Jeffery Ince","Louisiana Tech",""
"Marcus O'Malley","FIU",""
"Daniel Quintana","James Madison",""
"Nathaniel Thomas","USC Upstate",""
"Nicholas Ungania","Binghamton",""
"Kennedy Jones*","UNC Greensboro","South Carolina"
"Andrew Jones","Ohio State",""
"Anthony Giannette","Louisiana Tech",""
"Breck Nowik","Illinois-Chicago",""
"Kevin Haynes","Sacramento State",""
"Ty Kennedy","Washington State","Central Arizona"
"Brady Disbro","Ole Miss",""
"Mateo Cepullio","Akron",""
"Kyle Taylor","Valparaiso",""
"Tylor Jans","UL Monroe",""
"Anthony Causey*","Jacksonville State","Tennessee"
"Colt Taylor","Tennessee Tech",""
"Treven Crowley","Cal State Bakersfield",""
"Will Plattner","Ole Miss",""
"Matthew Maloney","Dayton",""
"Matthew Olive","Valparaiso",""
"Zachary Capps","Norfolk State",""
"Logan Dobberstein","Kansas State",""
"Lander Suarez Martinez","Lamar",""
"Kameron Walton","New Mexico",""
"Easton Romero","BYU",""
"Nathaniel Espelin","Dayton",""
"Carson Starnes","North Carolina",""
"Will Mercer","Notre Dame","Texas"
"Davion Hickson","Florida State",""
"Carlos Guzman","Missouri State",""
"Seth Sweet Chick","Nevada",""
"Samuel Contacos","Western Illinois",""
"John Maldonado Jr","Texas A&M Corpus Christi",""
"Joshua Despairiers","High Point",""
"Caleb Nix","Lipscomb",""
"Michael Sarhatt","Nevada",""
"Jared Villalobos","California Baptis",""
"Joey Kramer","Cal State Northridge","Washington State"
"Charles May","Texas A&M Corpus Christi",""
"Nolan McCracken","UC San Diego",""
"Nash Villegas","Texas A&M Corpus Christi",""
"Colin Purcell","Texas A&M Corpus Christi","Ohio State"
"William Jula","Austin Peay",""
"Cole Beddingfield","Texas A&M Corpus Christi",""
"Joseph Randazzo","California Baptist",""
"Wallace Jones III","Texas A&M Corpus Christi",""
"Dalton Leblanc","Texas A&M Corpus Christi",""
"Ethan Mckay","UNC Greensboro",""
"Zane Spinn","Sam Houston",""
"Danniel Blanchard","Texas A&M Corpus Christi",""
"Andrew Ripepi","Pittsburgh",""
"Antonio Escano","Lamar",""
"Marco Cutierrez","Texas A&M Corpus Christi",""
"William Strange","Lipscomb",""
"Jordan Medellin","Baylor",""
"Hudson Leach","Miami (OH)",""
"Chase Gerbrick","Lipscomb","Queens"
"Tanner Beang","Binghamton",""
"Garret Brooks","UTSA",""
"Steven Andrews","Kansas",""
"Cade Carlson","East Tennessee State",""
"Justin Williams","Louisiana Tech",""
"Jason Bollman","LSU",""
"Jason Rican","Oregon",""
"Maximus McCrary","Norfolk State",""
"Benjamin Clemente V","FIU",""
"Josh Sharman","UNLV",""
"Brandon Laux","Eastern Kentucky",""
"Hayden Duke","UMass Lowell",""
"Jacob Skaggs","Abilene Christian",""
"Jack Butler","Alcorn State",""
"Dylan Dennis","Loyola Marymount",""
"Daniel Farrow","Houston Christian",""
"Jamaal Green","Alcorn State",""
"Taye Robinson","College of Charleston","Towson"
"Ryan Dominguez","Cal State Northridge",""
"Reed Chumley","Houston Christian","West Virginia"
"Oliver Barkal","Niagara",""
"Stone Hewlett","Kansas","Arkansas"
"Anthony Nessler","Pittsburgh",""
"Gage Wolfe","Western Illinois",""
"Connor Fremin","Houston Christian",""
"Noah Beal","UNLV","Fresno State"
"Samuel Brady","Kansas",""
"Austin Delgado","Alcorn State",""
"Charles Harrison","UCLA",""
"Joesph Cinnella","Seton Hall",""
"Parker Grant","Kansas",""
"Shane Sax","Fairleigh Dickinson",""
"Jackson Cobb","Kansas",""
"Logan Mote","Iona",""
"Gavyn Boyle","Virginia Commonwealth",""
"Maury Weaver","Mississippi Valley State",""
"Bryson Hoier","Loyola Marymount",""
"Thomas Ross","Georgia Southern",""
"Kai Wagner","Utah",""
"Brian Uribe","UNLV",""
"Kevin Krill","Oakland",""
"Dawson Taylor","Butler",""
"Victor Figueroa","Mississippi Valley State",""
"Garret Brunstetter","Western Kentucky",""
"Ethan Schimony","Akron",""
"Addison Clymer","Niagara",""
"Benjamin Jacobs","UCLA","Arizona State"
"Cory Bosecker","Butler","Western Kentucky"
"Alfredo Delgado","Manhattan",""
"Garret Moffett","NC State",""
"Nicholas Carparelli III","Manhattan",""
"Jesse Robinson Jr","Virginia Commonwealth",""
"Matthew Wilkins","Kennesaw State",""
"Gianni Horvot","UNLV",""
"Alexander Buchanan","Southern Illinois",""
"William Lunceford","San Diego",""
"Kevin Seitter","Quinnipiac",""
"Garret French","Rutgers",""
"Mikiah Negrete","San Diego",""
"Thomas Latham","Mount St. Mary's",""
"Trevor Sheehan","East Tennessee State",""
"Marcus Dux","College of Charleston",""
"Miles Curley","East Carolina",""
"O'Kelley McWilliams IV","Wofford",""
"Bryce Konitzer","Oakland",""
"Blake Whiting","Utah",""
"Jake Haze","Northwestern State",""
"Nathan Weeldreyer","Gonzaga",""
"Dawson Place","Florida Gulf Coast",""
"Michael Kilker","West Virginia",""
"Logan Johnstone","Gonzaga",""
"Evan Maloney","Wake Forest",""
"Samuel Canton","Gonzaga",""
"Kyran Hoskinson","Cal State Bakersfield",""
"Ty Johnsen","Gonzaga",""
"Mauricio Millan","Wichita State",""
"Jackson Sorenson","Gonzaga",""
"Ty Batusich","Western Kentucky",""
"Thomas Egan","Houston",""
"Cade McGee","Gonzaga",""
"Zachary Bailey","Hofstra",""
"James Porter","San Francisco",""
"Jaylin Rae","Charleston Southern",""
"Maximus Martin","Rutgers",""
"Nicolas Regino","Charleston Southern",""
"Isaac George","Charleston Southern",""
"James Jett","Charleston Southern",""
"Samuel Burman","Hofstra",""
"Sergio Decello","Charleston Southern",""
"Brennan Morgan","Central Michigan",""
"Ozzie Pratt","BYU","Southern Miss"
"Grant Schoen","Pepperdine",""
"Shane Telfer","Pepperdine","Arizona"
"Shane Taylor","Utah Tech",""
"Ty Crittenberger","Western Kentucky","Kentucky"
"John Basseer","Pepperdine",""
"Crew Parke","Abilene Christian",""
"Connor Kurki","Coastal Carolina",""
"Jagger Duquette","Wagner",""
"Isaac Williams","UNC Asheville",""
"Ryun Cross","Long Island",""
"Sam Dilella","Elon",""
"Carter Lavalley","Florida Gulf Coast",""
"Jacob Gish","Utah",""
"Matthew Albritton","Jacksonville State",""
"Kyle Potthoff","Missouri",""
"Jackson Clement","Utah",""
"Evan Knipe","Long Beach State",""
"Colbey Klepper","Presbyterian",""
"Matthew Parenteau","Ole Miss",""
"Daniel Wilkerson","Louisiana",""
"Noah Smith","Louisville",""
"Tyeler Hawkins","Louisville",""
"Cameron Burgess","East Carolina",""
"Aidan Mcallister","Hofstra",""
"Murphy Brooks","TCU",""
"Johnny Long","Pittsburgh",""
"Jameson Richmond","Louisville",""
"Hectorgiovanny Mangual-Duran","Missouri",""
"Christian Holmes","Kansas State",""
"Luke Dickerson","Arkansas at Little Rock",""
"Mason Maners*","Jacksonville State","Auburn"
"Mason Utech","Utah",""
"Dawson Coe","Kennesaw State","Chipola (FL)"
"Clark Candiotti","Wichita State","Arizona"
"Tyler Avery","UNLV",""
"Adam Fischer","William & Mary",""
"Cameron Barto","Pittsburgh",""
"Garret Gainey","Liberty","South Carolina"
"Bryker Hurdsman","Utah Tech",""
"Richard Pospisil","Western Illinois",""
"Nelson Smith","Arkansas at Little Rock",""
"Nicholas Karls","Morehead State",""
"Nicholas Czarnecki","Monmouth",""
"Dallan Quigley","North Dakota State",""
"Kolby Soloman","Gonzaga",""
"Peter Michael","San Diego",""
"Owen Petrich","Delaware",""
"Mitchell Namie","New Mexico State",""
"Bryan Martinez","Long Beach State",""
"Jackson Frankovich","San Diego",""
"Hogan Garner","Clemson","College of Charleston"
"Gunner Antillion","New Mexico State",""
"Romeo Ballesteros","New Mexico State",""
"Christopher Esquivel","San Diego",""
"Samuel Garewal","Northwestern",""
"Malachi Lott","Houston",""
"Valentin Flores Jr","New Mexico",""
"Ahmad Sarajli","Michigan",""
"Maxwell Diaz","New Orleans",""
"Wyatt Nelson","North Dakota State",""
"Brandon Vlcko","South Dakota State",""
"Joseph Savino","Elon",""
"Jacob Bunz","Nebraska",""
"Zack Oswald","Pittsburgh",""
"Andrew Townsend","Missouri State",""
"Cameron Bye","Wichita State",""
"Hayden Mileski","Tulane",""
"Nicholas Jessen","Albany",""
"Avery Goldensoph","Michigan",""
"Matthew Maloney","New Mexico State",""
"Robert Pitts","Michigan",""
"James Fafinski","Northwestern",""
"Grant Adler","Wichita State","Kansas"
"Keegan Rich","New Orleans",""
"Dylan Gardner","Arizona State",""
"Jeffery Heard","Sacramento State",""
"Cody Hultink","Michigan",""
"Jack Little","Wichita State","Baylor"
"Jaylon Nauden","Butler",""
"Luke Lambert","Pittsburgh",""
"Daniel Padysak","Charleston Southern",""
"Dmtrice Booth","Eastern Kentucky",""
"Nathen Voss","Michigan",""
"Thomas Vaught","Arkansas at Little Rock",""
"Samuel Falace","Pittsburgh",""
"Jack Bowery","Marist",""
"Lukas Frers","Arkansas at Little Rock",""
"Gabriel Villaflor","Portland",""
"Brady Maylett","Utah",""
"Tyler Buschke","New Orleans",""
"Reid Fagerstrom","Jacksonville State",""
"Braden Webb","Memphis",""
"Adam Byrd","Abilene Christian",""
"Sterling Riggs","Abilene Christian",""
"Grant Umberger","Virginia Tech",""
"Carlos Martinez","Pittsburgh",""
"Jacob Marlowe","UCF","Florida State"
"Ross Lovich","Missouri",""
"Maccallan Conklin","Illinois State",""
"Nicholas Constantino","Saint Peter's",""
"Kyte Mcdonald","Wichita State",""
"Jack Livingstone","Texas Tech",""
"Brant Hogue","Oklahoma State","Iowa"
"Alex Neff","Dayton",""
"Barrett Rose","Stephen F. Austin",""
"Davis Benton","New Orleans",""
"Camden Gasser","Michigan",""
"Logan Gallina","New Mexico State",""
"Sullivan Stringer","Louisiana Tech",""
"Ethan Firestone","Southern California",""
"Mickyren Bentley","Arkansas-Pine Bluff",""
"Jakob Beaumont-Runnels","North Florida",""
"Sean Wiese","Hawaii",""
"Wesley Buck","UNC Greensboro",""
"Andrew Collins","Oakland",""
"Aronde Bell","Eastern Kentucky",""
"Blake Mcdonald","Saint Mary's",""
"Logan Smothers","Eastern Kentucky",""
"James Callahan","UC Santa Barbara","Kansas"
"Matthew Corlew","Eastern Kentucky",""
"Peter Jelenic","Oakland",""
"Scott Mcdonough","Arkansas at Little Rock",""
"Cody Carwile","Georgia Tech",""
"Daniel Neri","Notre Dame",""
"Cole Munhall","Tulane",""
"John Peloquin","McNeese",""
"Andrew Guidara","Pacific",""
"Brant Baughcum","Georgia Tech","Gulf Coast (Fla.)"
"Dylan Delvecchio","Tarleton State",""
"Luke Dziados","Villanova",""
"Alex Diaz","Prairie View A&M",""
"Jack Wagner*","Tarleton State","Arkansas"
"Matt Tesoriero","Quinnipiac",""
"Holland Townes","Southern Miss",""
"Hunter Day","Tarleton State","Missouri State"
"Jake Mattaidess","Oakland",""
"Caden Duke","Pacific",""
"Carter Degondea","Missouri State",""
"Landon WIllbrand","Lindenwood",""
"Daniel Barrera","Pacific",""
"Carlos Pena","Missouri",""
"Miles Halligan","Missouri State",""
"Tatsunori Negishi","Middle Tennessee",""
"Jake Rons","Long Beach State",""
"Lane Pearson","Georgia Southern",""
"Camron Mercurio","Cal State Northridge",""
"Ali Camarillo","Cal State Northridge","Texas A&M"
"Travis Densmore","Oakland",""
"Eli Watson","Western Kentucky",""
"Christopher Hund","Long Island",""
"Jonathan Peterson","Monmouth",""
"Curtis Hughes III","Mercer",""
"Joshua Cone","South Florida",""
"Maddox Brooks","James Madison",""
"Landon Underhill","Mercer",""
"Michael Ciminiello","Seton Hall",""
"Ryan Williams","Mississippi State",""
"Christopher McKenna","Gardner-Webb",""
"Fabian Amaro","UAB",""
"David Herring","Wichita State",""
"Brandon Burckel","Houston",""
"Zach Storbakken","Hawaii",""
"Javyn Pimental","Missouri",""
"Rocco Peppi","Long Beach State","Fresno State"
"Andrew Walters","UCLA",""
"Nicholas Plue","Manhattan",""
"Thomas Gormley","Maine",""
"Bryce Fisher","Jacksonville",""
"Logan Antigiovanniwenzel","Central Connecticut State",""
"Tyler Valdez","Arizona State",""
"Ethan Long","Arizona State",""
"Harris Smajic","Portland",""
"Dominic Giustino","Portland",""
"Bryson Hudgens","McNeese","Oklahoma State"
"Charles Jones","Air Force",""
"Noah Zertuche","William & Mary",""
"Nelson Rivera","South Florida",""
"Chaz Myers","Pacific",""
"Brett Blomquist","Western Kentucky","North Greenville"
"Wilson Kafka","Morehead State",""
"Robert Oneal","Old Dominion",""
"Joey Dechiaro","Old Dominion","Rutgers"
"Robert Hogan","Texas A&M",""
"Karl Brooks Jr.","Maryland Eastern Shore",""
"Jack Firestone","Akron",""
"Quinton Konuszewski","Pittsburgh",""
"Cole Mcgowan","UC Irvine",""
"Helmuth Braendel","Miami",""
"Nicholas Hyde","Western Carolina",""
"Matthew Wilkinson","Wichita State",""
"Samuel Seeker","Akron",""
"Jaden Gustafson","Wichita State",""
"Treyjen Meza","New Mexico State",""
"Xaige Lancaster","New Mexico State",""
"Mark Tortorella","Akron",""
"Noah Mitchell","The Citadel",""
"Samuel Whiting","UC Santa Barbara",""
"Andrew Wilson","Iowa",""
"Sean Sieve","Texas A&M Corpus Christi",""
"James Burchett","Texas A&M Corpus Christi",""
"Sean Curtis","Texas A&M Corpus Christi",""
"Charles Green","Texas Southern",""
"Lucas Kelly","Texas A&M",""
"Logan Lunceford","Missouri",""
"Matt Tucker","Texas A&M",""
"Jaron Nevarez","San Diego State",""
"Arderrius Townsend","Jackson State",""
"Cesar Saavedra","Jackson State",""
"Ricky Tibbett","San Diego State",""
"Noland Genies","Maryland Eastern Shore",""
"Michael Boeve","Omaha",""
"Josh Hankins","Coppin State","Gonzaga"
"Pablo Ruiz","South Florida",""
"Miguel Baez","Grambling State",""
"Trevor Austin","Missouri",""
"Chase Franken","Youngstown State",""
"Matthew Howat","William & Mary",""
"Thomas Green","Oakland",""
"Garet Crenshaw","Sacramento State",""
"Cameron Howard","Western Illinois",""
"John Popick","Akron",""
"Griffin Harrison","Sacramento State",""
"Luke Tanner","Northwestern",""
"Evan Vandenbosch","Queens (NC)",""
"Christian Del Campo","Queens (NC)",""
"Noah Covington","Maryland Eastern Shore",""
"Nathan Lee","Cal State Northridge",""
"Joe Dechiaro","Old Dominion",""
"Parker Seay","South Florida",""
"Alec Greenblatt","Maryland Eastern Shore",""
"Tristan Werner","Fairleigh Dickinson",""
"Robert O'Neal","Old Dominion",""
"Devin Pelletier","Fairleigh Dickinson",""
"Logan Castleman","Morehead State",""
"Wilson Kafka","Morehead State",""
"Jacob Cothran","Middle Tennessee",""
"Grant Besser","Rutgers",""
"Jordon Smiley-Gouldbourne","Jackson State",""
"Hunter Baldwin","Harvard",""
"Isaiah Barkett","NC State","Stetson"
"Chaz Myers","Pacific",""
"Nelson Rivera","South Florida",""
"Andrew Carson","Michigan State",""
"Patrick Hail","Lamar",""
"Noah Zertuche","William & Mary",""
"Riley Bauman","Abilene Christian","TCU"
"Samuel Crowell","UT Arlington",""
"Martin Kaplan","Northwestern",""
"Jacob Krausher","Akron",""
"Luke Farris","Western Kentucky","Georgia"
"Branson Tressler","Utah Tech",""
"Bryson Hudgens","McNeese",""
"Andrew Delaney","Western Kentucky",""
"Charles Gonzalez","McNeese",""
"Brian Schutte","Western Kentucky",""
"Payton Tinkler","McNeese",""
"Sebastian Mexico","Fordham",""
"Kaito Hara","Akron",""
"Justin Solimine","Manhattan",""
"Darryl Dilworth","California",""
"Miguel Baez","Grambling",""
"Dylan Vega","South Florida",""
"Pablo Ruiz","South Florida",""
"Carson Cotugno","Wake Forest",""
"Justin Johnson","Coppin State",""
"Kevin Miranda","Coppin State",""
"Cody Haley-Smith","Prairie View A&M",""
"Mason Kelley","Arizona",""
"Tai Walton","Hawaii",""
"Austin Troesser","Missouri",""
"Rene Lastres","Florida",""
"Mason Ornelas","Nebraska",""
"Jack Poist","Akron",""
"Blake Mozley","Nebraska",""
"Logan Koester","George Washington",""
"Michael Gupton","NC State",""
"John Modugno","Rutgers",""
"Eric Crouse","Wagner",""
"Nolan Genies","Maryland Eastern Shore",""
"Charlie Weber","Wofford",""
"Andrew Nelson","Iowa",""
"Joe Kroner","Rutgers",""
"TJ McCants","Ole Miss",""
"Miles Garrett","Vanderbilt",""
"Sam Seeker","Akron",""
"Matt Wilkinson","Wichita State",""
"Nick Hyde","Western Carolina",""
"Tim Strickland","Gardner-Webb",""
"Conor Hourigan","Sacramento State",""
"Joseph Morgan","Stonehill",""
"Christian Loescher","Stonehill",""
"William Hunt","Radford",""
"Brendan Concannon","UT Arlington",""
"Tommy Kuykendall","UT Arlington",""
"Zach Reynolds","Creighton",""
"Benjy Tucker","Sacramento State",""
"Bobby Rusher","Gardner-Webb",""
"Jonathan Hogart","Louisiana Tech",""
"Seth Owen Sumner","UC San Diego",""
"Dylan Goldstein","Florida Atlantic",""
"Dominic Presto","Florida Atlantic",""
"Tyler Monzon","Florida Atlantic",""
"James Snipes","Mississippi Valley State",""
"Gage Bradley","Missouri State",""
"Dante Leach","Southern Illinois",""
"Richard Dell","Kent State",""
"Cameron Jowaiszas","Nevada",""
"Jacob Blawn","Long Beach State",""
"Cole Sansom","Kent State",""
"Kyle Atkinson","Texas State",""
"Zack Malone","Sacramento State",""
"Chandler Murphy","Missouri",""
"Beau Blanchard","New Orleans",""
"Charlie Rhee","San Diego State",""
"Amari Bartee","Marshall",""
"Sam Garcia","High Point",""
"Wagner Morrissette","Maryland","Gaston (NC)"
"Austin Teixeira","Hawaii",""
"Ian Farrow","Miami",""
"Matt Lorenzano","Long Beach State",""
"Cole Derks","Miami",""
"Kaden Martin","Miami",""
"Elakim Stowe","Maryland",""
"Ariel Garcia","Miami",""
"Ty Tilson","USC Upstate",""
"Ryder Hernandez","Texas State",""
"Connor Walsh","Rice",""
"Zach Sigmon","Mississippi Valley State",""
"Keith Harden","Mississippi Valley State",""
"Christian Lothes","Charlotte",""
"Kyle Hopke","North Dakota State",""
"Jaxon Grossman","Utah",""
"Ryan Dykstra","Oakland",""
"Skylar Cannady","East Tennessee State",""
"Lucas Prokosch","Fairleigh Dickinson",""
"Adam Euler","Evansville",""
"Gavin Abrams","Clemson",""
"Marc Seibert","Mississippi State",""
"Caiden Matheny","UCF",""
"Ryan Zimmer","Michigan",""
"Will Benjamin","Western Illinois",""
"Ty Santa Barbara","Albany",""
"Luca Danos","William & Mary",""
"Owen Sillman","Albany",""
"Matt Cavanaugh","UT Arlington",""
"Ethan Reader","Illinois-Chicago",""
"Austin Brewer","UTSA",""
"Parker Schmidt","Utah Tech",""
"Brett Porthan","Utah Tech",""
"Josh McCusker","Coastal Carolina",""
"Caden Parker","Maryland Eastern Shore",""
"Tyler Nichol","Coppin State",""
"Marcos Herrand","Coppin State",""
"Jordan Hamberg","Coppin State",""
"James Aselta","Lafayette",""
"Michael Bechetti","Fairfield",""
"Tristan Sipple","NC State",""
"Bradley Chesteron","Lindenwood",""
"Austin Henry","Wichita State","Oklahoma"
"Addison Kopack","Rhode Island",""
"Reagan Paulina","Oakland",""
"Jared Glenn","Arizona State",""
"Christian Perez","New Mexico State",""
"Noah Rabon","USC Upstate",""
"Jace Presley","Grand Canyon",""
"Sakemi Sato","New Mexico State",""
"Will Rogers","Arizona State",""
"Reece Rappoli","Brown",""
"Jeric Curtis","Texas Tech",""
"Ryan Bates","Siena",""
"Paul Toetz*","Purdue",""
"Anthony Santamaria","San Jose State",""
