"Name","Old School","New School"
"Giovanni Digiacomo","LSU",""
"Conor Kiely","Stonehill",""
"Christian Brennan","Marist",""
"Owen Zadrozny","Charleston Southern",""
"Jackson Emus","Princeton",""
"Nathan Beimel","Columbia",""
"James Chatfield","Yale",""
"Owen Coady","Pennsylvania","Virginia"
"Chase Hughes","Presbyterian",""
"Wyatt Benge","Air Force",""
"Bryce Mangene","Pennsylvania",""
"Seth Werchan","Pennsylvania","Texas"
"Cole Palis","Pennsylvania",""
"Justin Carboni","Pennsylvania",""
"Ben Miller","Pennsylvania","Duke"
"David Shoemaker","Pennsylvania","Virginia Tech"
"Jackson Appel","Pennsylvania","Texas A&M"
"Luca Trigiani","Saint Joseph's","William & Mary"
"Andrew Blake","Columbia","Duke"
"Mark Trotta","George Mason",""
"Jason Reeves","Presbyterian",""
"Justin Pierre","Manhattan",""
"Brodie Mackay","Western Kentucky",""
"Jack Theil","South Carolina",""
"Kevin Karstetter","Houston",""
"Mason Kelly","Bucknell",""
"Theodore Farynick","Bucknell",""
"Jacob Terwilliger","Bucknell",""
"Alden Mathes","Richmond",""
"Christopher Klein","Bucknell",""
"Henry Novicki","Bucknell",""
"Jacob Wortman","Bucknell",""
"Kyle Lyons","Bucknell",""
"William Greer","Bucknell","VCU"
"Christopher Difiore","Bucknell",""
"Brock Goodwin","Monmouth",""
"James Zakhar","Dayton",""
"Evan Chenier","Virginia Commonwealth","FIU"
"Stephen Schenning","Mount St. Mary's",""
"Isaac Gochenouer","Hawaii",""
"Brian Morrell Ii","Hofstra",""
"Nicholas Gilhaus","Milwaukee",""
"Coleson Abel","Texas Tech","Lubbock Christian"
"Brandon Clarke","State College of Florida","Liberty"
"Jacob Ciccone","Lafayette","Monmouth"
"Gavin Noriega","Marist",""
"Brian Zeldin","Pennsylvania","Georgia"
"Brett Allen","UMass",""
"Braxton Pearson","TCU",""
"Connor Strickland","Florida State",""
"Robert Buckley","Charlotte",""
"Ryan Skjonsby","San Francisco",""
"Cale Lansville","LSU","San Jacinto (TX)"
"Nick Gaitan","Bethune-Cookman",""
"George Busnach","Charlotte",""
"Ben Loyd","Notre Dame",""
"Adam Dowler","Louisville",""
"Salvatore Dastoli","Sacred Heart",""
"Chris Sabo","UNC Asheville",""
"Brice Crider","Charlotte",""
"Aidan McEvoy","Charlotte",""
"Jon Sabtonik","Illinois State",""
"Joe Hollerbach","Cornell",""
"Raul Ortega","UT Rio Grande Valley",""
"Scott Newman","Wichita State",""
"Phili Healy","Columbia",""
"Andy Jones","Gardner-Webb",""
"Colin Jackson","UTSA",""
"Elijah Stewart","UL Monroe",""
"Josh Overbeek","Pittsburgh",""
"Trey Paige*","Delaware State","Kentucky"
"Rickey Rivas","Saint Peter's",""
"Andrew Ray","Mississippi State",""
"Ray Bermudez","Miami",""
"Adrian Dominguez","Miami",""
"Nathan Early","Ohio State",""
"Nick Castellana","Niagara",""
"Kenneth Schaedel","Georgia Tech",""
"Xander Stephens","Georgia Tech",""
"Tyler Christmas","Duke",""
"Aiden Adams","Tarleton State",""
"Dallas Griess","North Carolina",""
"Tyler Overholt","College of Charleston","Lander (NC)"
"Jordan Savinon","Longwood",""
"Seven Roach","Norfolk State",""
"Mason Caperton","New Mexico State",""
"Julian Grier","Southern",""
"Will Waldron","NC State",""
"Jadarion Herrod","Southern",""
"Steven Thompson","New Mexico State",""
"Andrew Holub","Tulane",""
"Drew Leach","Baylor",""
"Jeremy Figueroa","Texas Southern",""
"Brendan Moran","Nicholls State",""
"Alex Khan","West Virginia",""
"John Walsh","Indiana State",""
"Ryan Hughes","Loyola Marymount",""
"Collin Coker","Texas State",""
"Sean Lane","Maryland","Hofstra"
"Noah Burke","Penn State",""
"DeAndre Edwards","North Carolina A&T",""
"Brendan O'Donnell","Rider",""
"Jack Tomlinson","Coastal Carolina",""
"Dakotah Danner","UT Martin",""
"Matt Murphy","USC Upstate",""
"Jordan Austin","Missouri",""
"Robert Organ","UTSA",""
"Nolan Meredith","UC Davis",""
"Blaine Thomas","New Orleans",""
"Nick Reyes","UTSA",""
"Cy Probst","Maine",""
"Grant Gilooly","Bethune-Cookman",""
"Brock Rose","Xavier",""
"Kaden Krowka","Tarleton State",""
"Willie Cunningham","Clemson",""
"Derek Williams","Missouri",""
"Josh Prinner","Little Rock",""
"Cam Clines","Georgia Tech",""
"Luke Carpenter","Dartmouth",""
"Tahir Muelens","Jackson State",""
"Evan Leibl","Oklahoma","West Texas A&M"
"John Volpe","Rider",""
"Ozan Uyulur","Michigan State",""
"Jakob Jackson","Liberty",""
"Andrew Cisneros","UC Davis",""
"Ryan Folts","Presbyterian",""
"Brian Panneton","Texas State",""
"Tyler Minneci","Ohio",""
"Luke Carrell","Oklahoma",""
"Rob O'Connor","Wake Forest",""
"Matt Haggerty","Elon",""
"Nick Hammer","James Madison",""
"Jesse Wainscott","Eastern Illinois",""
"Scott Herrmann","Wofford",""
"Sebastian Kuhns","New Orleans",""
"John Gray","New Orleans",""
"Brandon Davis","Charlotte",""
"Henry Cone","Baylor",""
"Ian Halverson","California Baptist",""
"Zach Stephenson","Connecticut",""
"Asher Hastings","Little Rock",""
"Christian Bosque","FIU",""
"Chris Hamm","Houston",""
"Jackson Blemler","Texas State",""
"Noah Hill","Old Dominion",""
"Kobe Rolling","Saint Mary's",""
"Michael McKinney","NC State","West Virginia"
"Adam Dapkewicz","Georgetown",""
"Jake Vargas","Cal State Fullerton","Azusa Pacific"
"Zach Meddings","Coastal Carolina",""
"Louka Daoust","West Virginia",""
"Bryce Suters","James Madison",""
"Gavin Baratta","Lamar",""
"Jaylen Hughes","Southern",""
"Gabriel Maya","San Diego",""
"Jackson Gimbel","James Madison",""
"Phillip Boykin","Norfolk State",""
"Garrett Causey","Southern Indiana",""
"Karter Wong","Grand Canyon",""
"Aedan Anderson","Jacksonville State",""
"Timothy Arguello","Wichita State",""
"Bryson Sanchez","Utah Valley",""
"Revan Lazarus","Southern California",""
"Danny Lavoy","FIU",""
"Gabe Perez","FIU",""
"Cooper Newell","James Madison",""
"Nick Hohenstein","Siena",""
"Ryan Ball","Texas Tech","Lubbock Christian"
"Taisei Yahiro","Grand Canyon","Minnesota State-Mankato"
"Tyler Martin","Stephen F. Austin",""
"Owen Wendell-Braly","Southern California",""
"Ryan Ward","Arkansas","San Diego"
"Osvaldo Casanova","FIU",""
"Noah Magee","Ole Miss","Delta State"
"Victor Loa","Texas State",""
"Braden Luke","Ole Miss",""
"Schyler Arroyo","Bethune-Cookman",""
"Isaac Sewell","Virginia Tech",""
"Will Ray","Wake Forest",""
"Cooper Cross","Virginia Tech",""
"Joel Gardner","West Virginia",""
"Reed Schaefer","Arizona",""
"Drew Porter","Cal State Northridge",""
"Jude Putz","Arkansas","Notre Dame"
"Todd Tringale","Dayton",""
"Jaden Delawder","Binghamton",""
"Kerry Wright","Houston",""
"James Little","UNC Asheville",""
"Marco Podboy-Navarro","New Orleans",""
"Gabriel Irwin","Stephen F. Austin",""
"Andrew Arnold","Georgia Southern",""
"Bradley Gagen","Tennessee",""
"Previn Blalock","Georgia Tech",""
"James Caillouiet","Southern",""
"Jackson Jarvis","Belmont",""
"Ulisses Ferraz","Saint Peter's",""
"Paxton Briley","Georgia Southern",""
"Chris Whelton","Belmont",""
"Josh Hand","Virginia Tech",""
"Isaac Upole","West Virginia","Florida Southwestern"
"Robert Morrison","Troy",""
"Paul Vossen","Utah Valley",""
"Will Newell","Lipscomb",""
"Casey Threats","San Francisco",""
"Aidan Smith","Belmont",""
"Brendan Collins","Toledo",""
"Bryce Demory","Virginia Military",""
"Brett Hansen","TCU",""
"Owen Paliament","Binghamton",""
"Chris Brown","Connecticut",""
"Wes Schields","Lamar",""
"Hunter Komine","San Diego","Seattle"
"Landry Jurecka","Kansas State",""
"Carter Oliff","Middle Tennessee",""
"Casey Knuckles","Delaware",""
"Tyler Pflomm","Miami (OH)",""
"Nolan Oshoney","Florida Gulf Coast",""
"Mason Lowe","Oklahoma",""
"Sebastian Silva","Virginia Military",""
"David Lewis","Clemson","North Greenville (SC)"
"Colton Adams","Bryant",""
"Ruben Rivera","San Francisco",""
"Ross Dyer","Bryant",""
"Hudson Sapp","Ole Miss","Georgia Highlands"
"Kyle Klingenbeck","Northern Kentucky",""
"Jordan Armstrong","Auburn",""
"Luke Zimmerman","Saint Joseph's",""
"Blake Morrison","SIU-Edwardsville",""
"Jason Wright","San Diego State",""
"Zeph Singleton","Alcorn State",""
"Dillon Orr","Tennessee",""
"Keith Merriweather","Arkansas-Pine Bluff",""
"Christian Almagno","Maine",""
"Cam Jones","Maryland","Frederick (MD) CC"
"Jesse Herrera","Lamar",""
"Jaylend Clemmons","North Carolina A&T",""
"Danny Llanas","Coppin State",""
"Tate Peterson","Ohio",""
"Bryce Archie","Coastal Carolina",""
"Demajion Howard","Western Carolina",""
"Andres Pasillas","San Diego",""
"Adam Pabst","Davidson",""
"Dylan Bowen","Virginia Military",""
"Davis Burgin","McNeese",""
"Logan Wilson","Dayton",""
"Carson Frye","Georgetown",""
"John Crane","Saint Peter's",""
"JD Gregson","Texas A&M",""
"Ben Watson","Elizabethtown (D3)","Virginia Tech"
"Chris Meyer","Indiana State",""
"Tim Williamson","Harvard",""
"Peter Hamill","Florida",""
"Connor Bertsch","Dartmouth",""
"Eric Rizzo","George Washington",""
"Colten Smith","Duke",""
"Brady Mutz","Monmouth",""
"John McGowan","Connecticut",""
"Jackson Edelman","Stetson",""
"Henry Gargus","Stanford",""
"Kevin Cushing","Cornell",""
"Chandler Freeman","Baylor",""
"Cole Hinkelman","Stanford",""
"Socrates Bardatsos","Rider",""
"David Morand","Xavier",""
"Eric Shandler","UMBC",""
"Luke Barbier","Nicholls",""
"Cooper Donlin","Oakland",""
"Curren Larson","Connecticut",""
"Jonathan Walman","Maryland",""
"Jackson Brown","East Tennessee State",""
"Anthony Weeden","Florida State",""
"Jayson Hoopes","Rutgers",""
"Andrew Brock","Maryland",""
"Will Ross","Tarleton State",""
"Sean Menzel","Milwaukee",""
"Zach Button","Cal Poly",""
"Max Meier","Stanford",""
"Tyler Turner","Monmouth",""
"Matt Dreher","Nebraska",""
"Brendan Alvord","Eastern Michigan",""
"Isaac Berry","Radford",""
"Keaton Carattini","San Francisco",""
"David Wilson","Lamar",""
"Kolby Pascarelli","Connecticut",""
"Tariq Freeny","Grand Canyon",""
"Nathan Fleischli","Stanford",""
"Brenden Evans","Southern",""
"Jack Vogele","Cincinnati",""
"Michael Walsh","Maryland",""
"Kevin Madden","South Carolina","College of Charleston"
"David Case","Oregon State",""
"Alex Walsh","Lafayette",""
"Treyvin Moss","Northern Kentucky",""
"Jack Painter","Cal Poly",""
"Andrew Ciufo*","Georgetown","Clemson"
"Trey Pringle","Gardner-Webb",""
"Mark Kirkland","Winthrop",""
"Calvin Costner","Rhode Island",""
"Kyle Scott","Cal Poly",""
"Eric Marasheshki","Princeton",""
"Zach Selinger","Fordham",""
"Reece Rabin","Princeton",""
"Cedric Rose","UMass-Lowell",""
"Gerard Peacock","Notre Dame",""
"Dylan Siesky","Lafayette",""
"Kei Yamagishi","Queens (NC)",""
"Valentino Salgado","Rhode Island",""
"Landon Cody","Tarleton State",""
"Alex Schrier","UC Santa Barbara","San Diego"
"Ben Kovel","Fordham",""
"Brenden Harris","Marshall",""
"Owen Fuller","Baylor",""
"Rory Lynch","College of Charleston",""
"Jorge Ramirez","Rhode Island",""
"Alex Sachais","Rhode Island",""
"Corey Miley","Coppin State",""
"Kurtis Thomas","Central Connecticut State",""
"Gabriel Dermott","Delaware",""
"Mikey Pauley","Nebraska",""
"Vaughn Mauterer","California","San Diego"
"Max Beck-Berendsen","Georgia",""
"Mason Brandenberger","UTSA",""
"Tywone Malone","Ole Miss","Ohio State"
"Adam Henry","North Carolina A&T",""
"Jack Eichler","Saint Peter's","Central Michigan"
"Logan Leax","George Washington",""
"Cam Moore","Niagara",""
"Kevin Connolly","Stonehill",""
"Charlie Chropuvka","Delaware",""
"Brandon Lawrence","Michigan",""
"Logan Bravo","Harvard",""
"Nick Markantonatos","Saint Peter's",""
"Sam Haney","Saint Peter's",""
"Drew McIllwain","Austin Peay",""
"Parker Redden","Delaware",""
"Steven Azzaro","Oklahoma State",""
"Christian Coombes","Saint Peter's",""
"Marcellus Pearson","UC Riverside",""
"Assaf Lowengart","William & Mary",""
"Dane Miller","Columbia",""
"Jackson Coen","Georgetown",""
"Timothy Williams","Gardner-Webb",""
"Harrison Law","Vanderbilt",""
"Brady Posch","Tarleton State",""
"Carson Shipman","Gardner-Webb",""
"Ryan Coleman","UMass",""
"Daniel Strohm","Ball State",""
"Jalen Smith","Memphis",""
"Nathan Selmont","Kent State",""
"Joe Williams","UAB",""
"Ted Burton","Michigan","Texas A&M"
"Grant Stevens","Pacific","Oklahoma"
"Jake Clark","Akron",""
"Max Gustafson","Bryant",""
"Michael Cardone","Saint Peter's",""
"Tyson Fourkiller","Arkansas",""
"Greg Marmo","Gonzaga",""
"Sam Delcollo","Saint Peter's",""
"Patrick Reilly","Central Connecticut State",""
"Eliot Dix","Longwood",""
"Kyle Caringi","St. Bonaventure",""
"Tyler Stout","Pacific",""
"Jonathan Velazquez","Stetson",""
"Quentin Markle","Butler",""
"Lashawndrick Scott","Knoxville",""
"Steven Luttazi","UMass",""
"Turner Swistak","Tennessee","Louisiana Tech"
"Kevin Williams","Delaware",""
"Albert Alvarez","UC San Diego",""
"Josh Feldman","Villanova",""
"Logan Berrier","Longwood",""
"Ben Rosengard","Rice",""
"Joe Soberton","UC San Diego",""
"Toran Smith","Coppin State",""
"Samuel Clark","Connecticut",""
"Will Droll","Pittsburgh",""
"Gavin Weinstock","Gardner-Webb",""
"Conner Doucet","Louisiana",""
"Sean Lynch","Eastern Illinois",""
"Kam Ojeda","Coastal Carolina",""
"Josh Trout","Eastern Illinois",""
"Gauge Lockhart","Brown",""
"Michael Tolson","Longwood",""
"Vincent Bianchi","St. John's",""
"Joe Hurth","Indiana State",""
"John Schubert","Saint Peter's",""
"Toby Haarer","Kansas",""
"Kaden Peifer","Delaware",""
"Jackson McPherson","Gardner-Webb",""
"Ben Lee","Milwaukee",""
"Tommy Ray","Louisiana",""
"Frank Wayman","UMass-Lowell",""
"Collin Bosley-Smith","Duke",""
"Davis Green","Georgia Tech",""
"Carson Carey","Northwestern State",""
"Dylan Wilkinson","Longwood",""
"Richard Maxwell","Georgia Southern",""
"Thomas Ditullio","Bryant",""
"Carson Mynatt","Georgia Southern",""
"Matthew Phillips","USC Upstate",""
"Dylan Hoy","Marist","Louisville"
"Sam Polk","Saint Louis",""
"Breven Yarbro","Charlotte",""
"Pierce Herndershot","St. Bonaventure",""
"Brett Alvis","Mount St. Mary's",""
"Erick Delgado","Gardner-Webb",""
"Nathan Manning","California",""
"Christian Peluso","Wagner",""
"Chandler Benson","Nebraska",""
"Jayme Villafane","South Alabama",""
"Matthias Haas","Cal Poly",""
"Nick Carparelli","Manhattan",""
"Lucas Manning","Holy Cross","Wofford"
"Mason Smith","South Alabama",""
"Austin Tolley","Ole Miss",""
"Victor Castillo","Liberty",""
"Timothy Ruffino","Coppin State",""
"Rashad Ruff","Coppin State",""
"Will Havens","Elon",""
"Logan Baker","St. John's",""
"John Hood","Connecticut",""
"Kylan Stepter","South Alabama",""
"Josh Milleville","Fairleigh Dickinson",""
"Evan Dobias","Virginia",""
"Dylan Edmands","Liberty",""
"Nick Terrell","SIU-Edwardsville",""
"Joe Biancone","Bryant",""
"Carter Rost","Wichita State",""
"John Ormsby","Virginia",""
"Andrew Romero","Sam Houston",""
"Rohan Shah","The Citadel",""
"Zach Griffin","San Francisco",""
"Will Hearn","San Francisco",""
"Gage Gillott","USC Upstate",""
"Tanner Kim","Kentucky",""
"Drew Baughman","Liberty",""
"Jake Saum","UCLA","Tulane"
"Augusto Schroeder","Arkansas State",""
"Ethan Jenkins","Florida A&M",""
"Devin Tonkins","Alabama A&M",""
"Jackson Kirkpatrick","Western Carolina",""
"Josh Hahn","UCLA","Notre Dame"
"Connor Harris","George Washington",""
"Willam Breen","St. Bonaventure",""
"Kai Burdick","San Francisco",""
"Carter Sabol","Ohio",""
"Edgar Rodriguez","Miami (OH)",""
"Peyton Fisher","High Point",""
"Zach Walker","Saint Peter's",""
"Nathan Klodowski","St. Bonaventure",""
"Andrew Wertz","Stonehill",""
"Nick Kolze","Xavier",""
"Phoenix Bowman","Iona",""
"Charles Neese","High Point",""
"Logan Lawrence","Stonehill",""
"Calvin Scapira","Purdue",""
"Cameron Thompson","Purdue",""
"Matt Vivona","Stonehill",""
"Cooper Weiss","Miami (OH)","Auburn"
"Will Findlay","Fordham",""
"Nadir Lewis*","Princeton",""
"Max Williams","Alabama","Florida State"
"Porter Braddy","Maryland Eastern Shore",""
"Will Fauci","St. John's",""
"Nolan Funke","New Mexico State",""
"Aaron Barokas","Butler",""
"Dominic Milano","Butler",""
"Jeffrey Davis","New Mexico",""
"Justin Olson","New Mexico",""
"Kevin Michaels","St. John's",""
"David Glancy","St. John's",""
"Matt Lemke","Kansas State",""
"Jack Ballestero","St. John's",""
"Austin Roccaforte","Houston Christian",""
"Dallen Leach","North Florida",""
"Andrew Jenner","Liberty",""
"Austin Brinling","North Florida","South Carolina"
"Harrison Johnson","Ohio",""
"Luke Russo","Eastern Michigan","North Carolina"
"Lukas Galdoni","Butler",""
"Scott Jones","Butler","Lamar"
"Parker Walsh","Lafayette",""
"Mitchel Hemmen","Ohio",""
"Tristan McAlister","Mount St. Mary's",""
"Ryan Martinez","San Francisco",""
